player,pos,season,Players,2024/2025
AJ Griffin,SF,2024,AJ Griffin,"$250,000 "
Aaron Gordon,PF,2024,Aaron Gordon,"$22,841,455 "
Aaron Holiday,PG,2024,Aaron Holiday,"$4,668,000 "
Aaron Nesmith,SF,2024,Aaron Nesmith,"$11,000,000 "
Aaron Wiggins,SG,2024,Aaron Wiggins,"$10,514,017 "
Adam Flagler,SG,2024,Adam Flagler,"$578,577 "
Adama Sanogo,PF,2024,Adama Sanogo,"$578,577 "
Al Horford,C,2024,Al Horford,"$9,500,000 "
Alec Burks,SG,2024,Alec Burks,"$3,303,771 "
Alex Caruso,SG,2024,Alex Caruso,"$9,890,000 "
Alex Len,C,2024,Alex Len,"$3,303,771 "
Alondes Williams,SG,2024,Alondes Williams,"$578,577 "
Alperen Sengun,C,2024,Alperen Sengun,"$5,424,654 "
Amen Thompson,SF,2024,Amen Thompson,"$9,249,748 "
Amir Coffey,SF,2024,Amir Coffey,"$3,938,271 "
Andre Drummond,C,2024,Andre Drummond,"$5,000,000 "
Andrew Nembhard,PG,2024,Andrew Nembhard,"$2,019,699 "
Andrew Wiggins,SF,2024,Andrew Wiggins,"$26,276,786 "
Anfernee Simons,SG,2024,Anfernee Simons,"$25,892,857 "
Anthony Black,PG,2024,Anthony Black,"$7,607,754 "
Anthony Davis,C,2024,Anthony Davis,"$43,219,440 "
Anthony Edwards,SG,2024,Anthony Edwards,"$42,176,400 "
Anthony Gill,PF,2024,Anthony Gill,"$2,237,691 "
Ausar Thompson,SF,2024,Ausar Thompson,"$8,376,291 "
Austin Reaves,SG,2024,Austin Reaves,"$12,976,362 "
Ayo Dosunmu,SG,2024,Ayo Dosunmu,"$7,000,000 "
Bam Adebayo,C,2024,Bam Adebayo,"$34,848,340 "
Ben Sheppard,SG,2024,Ben Sheppard,"$2,664,031 "
Ben Simmons,PG,2024,Ben Simmons,"$40,338,144 "
Bennedict Mathurin,SF,2024,Bennedict Mathurin,"$7,245,720 "
Bilal Coulibaly,SF,2024,Bilal Coulibaly,"$6,945,240 "
Blake Wesley,SG,2024,Blake Wesley,"$2,624,280 "
Bobby Portis,PF,2024,Bobby Portis,"$12,578,286 "
Bol Bol,PF,2024,Bol Bol,"$2,425,403 "
Bones Hyland,PG,2024,Bones Hyland,"$4,158,439 "
Bradley Beal,SG,2024,Bradley Beal,"$50,203,930 "
Brandin Podziemski,SG,2024,Brandin Podziemski,"$3,519,960 "
Brandon Clarke,PF,2024,Brandon Clarke,"$12,500,000 "
Brandon Ingram,SF,2024,Brandon Ingram,"$36,016,200 "
Brandon Miller,SF,2024,Brandon Miller,"$11,424,382 "
